Ecole_BID,Chaires
B00602596,"Filière Agri Food,Filière conseil en stratégie,,"
B00747795,"ESSEC Chaires et Filières,,,"
B00719459,"ESSEC Chaires et Filières,,,"
B00692516,"ESSEC Chaires et Filières,,,"
B00695646,",,,"
B00690907,"Chaire Grande Consommation,Filière conseil en stratégie,,"
B00638450,"Chaire Digital Disruption,ESSEC Chaires et Filières,,"
B00698603,",,,"
B00603996,",,,"
B00530279,"Ch Mgmt Savoir-Faire Exception,,,"
B00604606,"ESSEC Chaires et Filières,,,"
B00604986,",,,"
B00698539,",,,"
B00527490,"Chaire Economie Urbaine,,,"
B00528929,"Chaire Digital Disruption,,,"
B00684990,",,,"
B00675015,"Chaire Immob. Dévt. durable,,,"
B00697400,",,,"
B00528080,",,,"
B00697946,"ESSEC Chaires et Filières,,,"
B00681491,"ESSEC Chaires et Filières,,,"
B00695302,",,,"
B00602802,",,,"
B00672918,",,,"
B00689729,",,,"
B00604120,",,,"
B00606802,"Filière Agri Food,,,"
B00693690,"Chaire Grande Consommation,,,"
B00684944,"ESSEC Chaires et Filières,Filière Agri Food,Filière conseil en stratégie,"
B00606284,",,,"
B00690351,"Filière Agri Food,,,"
B00691682,",,,"
B00686041,"Chaire Economie Urbaine,ESSEC Chaires et Filières,,"
B00692974,",,,"
B00689345,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,,"
B00693150,"Chaire Economie Urbaine,,,"
B00460212,",,,"
B00603762,",,,"
B00690298,",,,"
B00726827,",,,"
B00696342,",,,"
B00528595,",,,"
B00674312,"Chair Therapeutic Innovation,,,"
B00531560,",,,"
B00690775,"Filière Agri Food,,,"
B00690149,"Chaire Economie Urbaine,Filière Négoc Gouvernance Int,,"
B00684475,",,,"
B00673826,",,,"
B00682243,",,,"
B00694594,"Filière conseil en stratégie,,,"
B00715169,",,,"
B00689628,",,,"
B00602938,"Chaire Economie Urbaine,,,"
B00714893,",,,"
B00747790,"ESSEC Chaires et Filières,Cursus Expertise Comptable,,"
B00603157,"Chaire Economie Urbaine,ESSEC Chaires et Filières,Cursus Expertise Comptable,"
B00684726,"Chaire Grande Consommation,,,"
B00639474,",,,"
B00528320,",,,"
B00687904,"ESSEC Chaires et Filières,Filière Economie,,"
B00685020,"Filière conseil en stratégie,,,"
B00688919,",,,"
B00530100,"Chaire Entrepreneuriat Social,,,"
B00689782,"Chaire Media & Entertainement,,,"
B00692994,",,,"
B00687438,"ESSEC Chaires et Filières,,,"
B00605470,"Chaire Media & Entertainement,,,"
B00698602,",,,"
B00634208,",,,"
B00684838,"ESSEC Chaires et Filières,,,"
B00528160,",,,"
B00606664,",,,"
B00684890,"Filières comptables,,,"
B00607109,"ESSEC Chaires et Filières,Filière conseil en stratégie,,"
B00688855,",,,"
B00684787,"Chair Therapeutic Innovation,ESSEC Chaires et Filières,,"
B00697601,",,,"
B00527710,"ESSEC Chaires et Filières,,,"
B00684687,"Accenture Bus Analytics Chair,Chair Therapeutic Innovation,,"
B00688064,",,,"
B00605707,"Chaire Media & Entertainement,,,"
B00603121,"ESSEC Chaires et Filières,Cursus Expertise Comptable,,"
B00603912,"Chaire Entrepreneuriat Social,,,"
B00684642,"Chaire LVMH,,,"
B00588221,",,,"
B00528123,"ESSEC Chaires et Filières,,,"
B00684871,"Ch Mgmt Savoir-Faire Exception,,,"
B00604895,",,,"
B00684778,",,,"
B00715170,"Accenture Bus Analytics Chair,,,"
B00715168,"Chaire LVMH,,,"
B00603226,"Chaire Media & Entertainement,,,"
B00674018,",,,"
B00604529,"Accenture Bus Analytics Chair,,,"
B00684526,",,,"
B00684628,",,,"
B00736274,"Accenture Bus Analytics Chair,,,"
B00692552,"Chair Therapeutic Innovation,,,"
B00606149,",,,"
B00606571,",,,"
B00695994,"Ch Mgmt Savoir-Faire Exception,,,"
B00526852,",,,"
B00696142,",,,"
B00528823,"Chaire Media & Entertainement,,,"
B00605079,"ESSEC Chaires et Filières,,,"
B00531344,"Filière Agri Food,,,"
B00634218,"ESSEC Chaires et Filières,,,"
B00707227,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,,"
B00694096,",,,"
B00605156,",,,"
B00697002,"Chaire Grande Consommation,,,"
B00684773,"Filière Agri Food,,,"
B00529047,"Chaire Entrepreneuriat Social,,,"
B00693638,",,,"
B00604844,"ESSEC Chaires et Filières,,,"
B00604081,",,,"
B00605422,",,,"
B00570278,",,,"
B00685026,"Filières comptables,,,"
B00684846,",,,"
B00684792,"ESSEC Chaires et Filières,,,"
B00606394,",,,"
B00606435,",,,"
B00695016,"Accenture Bus Analytics Chair,,,"
B00634226,",,,"
B00684966,"Chaire LVMH,,,"
B00674241,"Chaire Economie Urbaine,Filière Négoc Gouvernance Int,,"
B00606447,",,,"
B00606486,",,,"
B00606542,"Chaire LVMH,,,"
B00685022,",,,"
B00695026,",,,"
B00606638,",,,"
B00695684,",,,"
B00606667,",,,"
B00531595,"ESSEC Chaires et Filières,Fil Business Analytics Methods,,"
B00606684,",,,"
B00692778,",,,"
B00606689,",,,"
B00696427,",,,"
B00684677,",,,"
B00687361,"Accenture Bus Analytics Chair,Filière Agri Food,,"
B00531735,",,,"
B00657495,"Chaire Digital Disruption,,,"
B00696794,"ESSEC Chaires et Filières,Filière Agri Food,,"
B00531801,",,,"
B00606921,",,,"
B00211622,",,,"
B00684961,",,,"
B00531868,",,,"
B00706556,"Accenture Bus Analytics Chair,,,"
B00606947,"ESSEC Chaires et Filières,,,"
B00696557,"Chaire ESSEC Santé,ESSEC Chaires et Filières,Filière conseil en stratégie,"
B00530965,"ESSEC Chaires et Filières,,,"
B00696988,"Fil Business Analytics Methods,,,"
B00607114,",,,"
B00606731,",,,"
B00684537,"Filière Négoc Gouvernance Int,,,"
B00695699,",,,"
B00606826,"ESSEC Chaires et Filières,,,"
B00416957,",,,"
B00703274,",,,"
B00693756,"Accenture Bus Analytics Chair,,,"
B00606836,"Chaire Leadership & Diversity,,,"
B00684806,"ESSEC Chaires et Filières,,,"
B00531549,"ESSEC Chaires et Filières,,,"
B00211642,"ESSEC Chaires et Filières,Filière Agri Food,Filière Economie,"
B00607142,"Chaire Digital Disruption,,,"
B00686915,"Filière Agri Food,,,"
B00676770,"Chaire Entrepreneuriat Social,,,"
B00684781,"ESSEC Chaires et Filières,,,"
B00605986,"Filière Agri Food,,,"
B00605861,"Chaire Economie Urbaine,,,"
B00679326,"ESSEC Chaires et Filières,,,"
B00605857,"Chaire Economie Urbaine,,,"
B00024134,"ESSEC Chaires et Filières,,,"
B00691519,"Filière Sport Business,,,"
B00657085,",,,"
B00694602,"Chaire Media & Entertainement,,,"
B00723713,"ESSEC Chaires et Filières,Filière conseil en stratégie,,"
B00693754,"Chaire Immob. Dévt. durable,,,"
B00605835,",,,"
B00606224,",,,"
B00606225,",,,"
B00693796,"ESSEC Chaires et Filières,,,"
B00684862,"ESSEC Chaires et Filières,Filière conseil en stratégie,,"
B00606166,"Filière Négoc Gouvernance Int,,,"
B00691462,"ESSEC Chaires et Filières,,,"
B00684993,",,,"
B00606106,"Chaire Media & Entertainement,,,"
B00693181,"ESSEC Chaires et Filières,Filière Agri Food,,"
B00697759,"Chaire Digital Disruption,,,"
B00606080,",,,"
B00398389,"Accenture Bus Analytics Chair,,,"
B00690653,",,,"
B00606034,"Ch Mgmt Savoir-Faire Exception,,,"
B00395599,",,,"
B00696448,"Chair Therapeutic Innovation,,,"
B00691861,"Chaire Leadership & Diversity,,,"
B00693720,",,,"
B00605404,",,,"
B00692321,"Chaire Grande Consommation,,,"
B00715164,"Filière Sport Business,,,"
B00605384,",,,"
B00697958,"Chaire Digital Disruption,,,"
B00703529,",,,"
B00684911,",,,"
B00574878,",Filière Négoc Gouvernance Int,,"
B00605807,"Chaire Grande Consommation,,,"
B00691901,"Filière conseil en stratégie,,,"
B00747788,",,,"
B00684945,",,,"
B00605796,"ESSEC Chaires et Filières,,,"
B00685035,"ESSEC Chaires et Filières,,,"
B00605761,",,,"
B00698009,"ESSEC Chaires et Filières,,,"
B00674105,",,,"
B00684709,"ESSEC Chaires et Filières,,,"
B00684542,",,,"
B00694778,",,,"
B00697827,"ESSEC Chaires et Filières,,,"
B00605635,"Accenture Bus Analytics Chair,ESSEC Chaires et Filières,,"
B00692785,"Chaire Entrepreneuriat Social,ESSEC Chaires et Filières,,"
B00684585,",,,"
B00605584,",,,"
B00695461,",,,"
B00530243,"ESSEC Chaires et Filières,,,"
B00720577,",,,"
B00690065,"ESSEC Chaires et Filières,,,"
B00529876,"Accenture Bus Analytics Chair,,,"
B00570523,"Chaire Int. Marketing Sportif,Chair Therapeutic Innovation,,"
B00684602,",,,"
B00605064,",,,"
B00605024,",,,"
B00674308,",,,"
B00693233,",,,"
B00605312,"ESSEC Chaires et Filières,,,"
B00605314,",,,"
B00697302,",,,"
B00684906,",,,"
B00662642,"Chaire ESSEC Santé,Chair Therapeutic Innovation,,"
B00684882,",,,"
B00685029,"ESSEC Chaires et Filières,,,"
B00605157,",,,"
B00529386,"Chaire Economie Urbaine,,,"
B00686027,"Accenture Bus Analytics Chair,Filière Négoc Gouvernance Int,,"
